time,theta_x,theta_y,theta_z,omega_x,omega_y,omega_z
0.657837000,-0.54189,-0.13997,0.10998,0.29562,-0.38957,-0.58809
0.660487000,-0.54111,-0.14100,0.10842,0.29562,-0.38957,-0.58809
0.663139000,-0.54033,-0.14264,0.10911,0.29562,-0.61707,0.26066
0.665793000,-0.53824,-0.14427,0.10981,0.78562,-0.61707,0.26066
0.668449000,-0.53616,-0.14591,0.11050,0.78562,-0.61707,0.26066
0.671111000,-0.53407,-0.14755,0.11119,0.78562,-0.61707,0.26066
0.673761000,-0.53289,-0.14870,0.10968,0.44437,-0.43332,-0.57059
0.676423000,-0.53171,-0.14986,0.10816,0.44437,-0.43332,-0.57059
0.679155000,-0.53049,-0.15104,0.10660,0.44437,-0.43332,-0.57059
0.681805000,-0.52932,-0.15219,0.10509,0.44437,-0.43332,-0.57059
0.684461000,-0.52883,-0.15352,0.10369,0.18187,-0.50332,-0.52684
0.687153000,-0.52835,-0.15488,0.10228,0.18187,-0.50332,-0.52684
0.689806000,-0.52786,-0.15621,0.10088,0.18187,-0.50332,-0.52684
0.692461000,-0.52738,-0.15755,0.09948,0.18187,-0.50332,-0.52684
0.695109000,-0.53290,-0.15761,0.10079,-2.08438,-0.02207,0.49691
0.697767000,-0.53843,-0.15767,0.10211,-2.08438,-0.02207,0.49691
0.700418000,-0.54396,-0.15772,0.10343,-2.08438,-0.02207,0.49691
0.703068000,-0.54948,-0.15778,0.10475,-2.08438,-0.02207,0.49691
0.705712000,-0.55806,-0.15738,0.10710,-3.24813,0.15293,0.89066
0.708367000,-0.56668,-0.15697,0.10946,-3.24813,0.15293,0.89066
0.711016000,-0.57528,-0.15657,0.11182,-3.24813,0.15293,0.89066
0.713664000,-0.58388,-0.15616,0.11418,-3.24813,0.15293,0.89066
0.716320000,-0.58017,-0.15564,0.10969,1.39812,0.19668,-1.69059
0.718984000,-0.57644,-0.15512,0.10519,1.39812,0.19668,-1.69059
0.721635000,-0.57274,-0.15460,0.10071,1.39812,0.19668,-1.69059
0.724285000,-0.56904,-0.15407,0.09623,1.39812,0.19668,-1.69059
0.726938000,-0.56753,-0.15344,0.09233,0.56687,0.24043,-1.47184
0.729587000,-0.56603,-0.15280,0.08843,0.56687,0.24043,-1.47184
0.732240000,-0.56453,-0.15216,0.08453,0.56687,0.24043,-1.47184
0.734888000,-0.56303,-0.15153,0.08063,0.56687,0.24043,-1.47184
0.737578000,-0.56548,-0.15133,0.08279,-0.91188,0.07418,0.80316
0.740227000,-0.56790,-0.15113,0.08492,-0.91188,0.07418,0.80316
0.742880000,-0.57031,-0.15093,0.08705,-0.91188,0.07418,0.80316
0.745532000,-0.57273,-0.15074,0.08918,-0.91188,0.07418,0.80316
0.748191000,-0.57404,-0.15059,0.08980,-0.49188,0.05668,0.23441
0.750841000,-0.57534,-0.15044,0.09042,-0.49188,0.05668,0.23441
0.753496000,-0.57665,-0.15029,0.09104,-0.49188,0.05668,0.23441
0.756160000,-0.57796,-0.15013,0.09167,-0.49188,0.05668,0.23441
0.758809000,-0.57560,-0.15131,0.09138,0.89062,-0.44207,-0.10684
0.761460000,-0.57324,-0.15248,0.09110,0.89062,-0.44207,-0.10684
0.764112000,-0.57088,-0.15365,0.09082,0.89062,-0.44207,-0.10684
0.766769000,-0.56851,-0.15482,0.09053,0.89062,-0.44207,-0.10684
0.769420000,-0.56439,-0.15606,0.08953,1.55562,-0.46832,-0.37809
0.772070000,-0.56027,-0.15730,0.08853,1.55562,-0.46832,-0.37809
0.774718000,-0.55615,-0.15855,0.08753,1.55562,-0.46832,-0.37809
0.777377000,-0.55201,-0.15979,0.08652,1.55562,-0.46832,-0.37809
0.780035000,-0.54937,-0.16113,0.08708,0.99562,-0.50332,0.20816
0.782686000,-0.54673,-0.16246,0.08763,0.99562,-0.50332,0.20816
0.785335000,-0.54409,-0.16379,0.08818,0.99562,-0.50332,0.20816
0.787996000,-0.54145,-0.16513,0.08873,0.99562,-0.50332,0.20816
0.790648000,-0.54164,-0.16628,0.08859,-0.07188,-0.43332,-0.05434
0.793297000,-0.54183,-0.16743,0.08845,-0.07188,-0.43332,-0.05434
0.796051000,-0.54202,-0.16858,0.08830,-0.07188,-0.43332,-0.05434
0.798716000,-0.54221,-0.16974,0.08816,-0.07188,-0.43332,-0.05434
